epsilon1,sigma1_MPa
2.6666666666666667e-05,0.39999622404801005
5.333333333333333e-05,0.7999655575481073
7.999999999999999e-05,1.1998744870833171
0.00010666666666666667,1.5996858511892933
0.0001333333333333333,1.9993599949344385
0.00015999999999999999,2.398855326195275
0.00018666666666666663,2.798128657993979
0.00021333333333333333,3.197135445260818
0.00023999999999999998,3.595829960905662
0.0002666666666666666,3.994165433540675
0.0002933333333333333,4.3920941593362794
0.00031999999999999997,4.789567595570207
0.00034666666666666667,5.1865364407317225
0.00037333333333333326,5.582950704457363
0.00039999999999999996,5.97875976958986
0.00042666666666666667,6.373912448012875
0.0004533333333333333,6.768357031483998
0.00047999999999999996,7.16204133838997
0.0005066666666666667,7.554912757135328
0.0005333333333333333,7.946918286720738
0.00056,8.338004574952098
0.0005866666666666667,8.728117954634376
0.0006133333333333332,9.117204478037266
0.0006399999999999999,9.505209949867703
0.0006666666666666666,9.892079958943205
0.0006933333333333333,10.277759908727292
0.0007199999999999998,10.662195046861914
0.0007466666666666665,11.045330493810392
0.0007733333333333332,11.427111270706789
0.0007999999999999999,11.807482326493213
0.0008266666666666666,12.1863885644144
0.0008533333333333333,12.5637748679289
0.0008799999999999999,12.939586126087583
0.0009066666666666666,13.313767258423075
0.0009333333333333333,13.68626323938748
0.0009599999999999999,14.057019122370555
0.0009866666666666667,14.425980063325918
0.0010133333333333333,14.793091344029001
0.00104,15.158298394987078
0.0010666666666666665,15.521546818018663
0.001093333333333333,15.882782408517073
0.00112,16.241951177410733
0.0011466666666666665,16.598999372830633
0.0011733333333333333,16.953873501493867
0.0011999999999999997,17.306520349810338
0.0012266666666666665,17.656887004718737
0.0012533333333333333,18.004920874256158
0.0012799999999999999,18.3505697078653
0.0013066666666666665,18.69378161644163
0.0013333333333333333,19.034505092122462
0.0013599999999999999,19.372689027818957
0.0013866666666666667,19.708282736491455
0.0014133333333333333,20.04123597016784
0.0014399999999999997,20.371498938704388
0.0014666666666666665,20.699022328287604
0.001493333333333333,21.023757319675685
0.0015199999999999999,21.345655606177413
0.0015466666666666665,21.66466941136627
0.0015733333333333333,21.98075150652709
0.0015999999999999999,22.293855227832374
0.0016266666666666665,22.603934493245205
0.0016533333333333333,22.91094381914553
0.0016799999999999999,23.214838336676163
0.0017066666666666667,23.5155738078052
0.0017333333333333333,23.81310664110095
0.0017599999999999998,24.10739390721562
0.0017866666666666667,24.398393354073953
0.0018133333333333332,24.68606342176281
0.00184,24.970363257117732
0.0018666666666666666,25.251252728002598
0.001893333333333333,25.52869243727815
0.0019199999999999998,25.80264373645567
0.0019466666666666664,26.07306873903155
0.0019733333333333334,26.339930333498952
0.002,26.603192196032566
0.0020266666666666666,26.862818802842714
0.0020533333333333332,27.11877544219474
0.00208,27.371028226090182
0.002106666666666667,27.619544101605946
0.002133333333333333,27.864290861887838
0.00216,28.105237156795084
0.002186666666666666,28.34235250319233
0.002213333333333333,28.575607294885863
0.00224,28.804972812200862
0.0022666666666666664,29.030421231196673
0.002293333333333333,29.251925632517047
0.00232,29.469460009872623
0.0023466666666666666,29.682999278152955
0.002373333333333333,29.892519281165466
0.0023999999999999994,30.0979967989991
0.002426666666666667,30.29940955501022
0.002453333333333333,30.49673622242869
0.00248,30.689956430582466
0.0025066666666666666,30.87905077073833
0.0025333333333333336,31.064000801557825
0.0025599999999999998,31.244789054166294
0.0025866666666666664,31.421399036834263
0.002613333333333333,31.593815239269514
0.0026400000000000004,31.762023136519407
0.0026666666666666666,31.926009192482145
0.002693333333333333,32.08576086302689
0.0027199999999999998,32.24126659872178
0.0027466666666666664,32.39251584717
0.0027733333333333334,32.53949905495362
0.0028,32.68220766918518
0.0028266666666666666,32.82063413866774
0.002853333333333333,32.95477191466335
0.0028799999999999993,33.08461545127081
0.0029066666666666668,33.21016020541368
0.002933333333333333,33.33140263643926
0.00296,33.44834020532992
0.002986666666666666,33.56097137352815
0.003013333333333333,33.66929560137685
0.0030399999999999997,33.77331334617646
0.0030666666666666668,33.87302605986119
0.003093333333333333,33.96843618629601
0.00312,34.059547158197184
0.0031466666666666665,34.14636339367824
0.0031733333333333336,34.22889029242459
0.0031999999999999997,34.30713423149905
0.0032266666666666667,34.3811025607818
0.003253333333333333,34.450803598047465
0.00328,34.51624662368294
0.0033066666666666665,34.57744187504936
0.0033333333333333335,34.63440054049197
0.0033599999999999997,34.68713475300144
0.0033866666666666663,34.73565758353111
0.0034133333333333333,34.77998303397397
0.0034399999999999995,34.820126029803575
0.0034666666666666665,34.856102412383876
0.0034933333333333327,34.88792893095206
0.0035199999999999997,34.91562323427952
0.0035466666666666663,34.9392038620157
0.0035733333333333333,34.958690235719956
0.0035999999999999995,34.97410264958665
0.0036266666666666665,34.98546226086871
0.003653333333333333,34.99279108000539
0.00368,34.99611196045952
0.0037066666666666663,34.995448588270264
0.0037333333333333333,34.99082547132702
0.0037599999999999995,34.982267928370696
0.003786666666666666,34.96980207772828
0.003813333333333333,34.95345482578683
0.0038399999999999997,34.93325385521366
0.0038666666666666663,34.90922761292848
0.003893333333333333,34.88140529783471
0.00392,34.849816848316046
0.003946666666666667,34.814492929505256
0.003973333333333333,34.775464920332176
0.004,34.73276490035728
0.004026666666666666,34.68642563639846
0.004053333333333333,34.63648056895746
0.004079999999999999,34.582963798453584
0.0041066666666666665,34.52591007127149
0.004133333333333333,34.46535476563052
0.00416,34.40133387728297
0.004186666666666667,34.33388400504825
0.004213333333333334,34.2630423361909
0.00424,34.1888466316496
0.004266666666666666,34.11133521112451
0.004293333333333333,34.03054693803107
0.00432,33.946521204327084
0.004346666666666666,33.859297915221255
0.004373333333333332,33.76891747377054
0.0044,33.67542076537401
0.004426666666666666,33.57884914217074
0.0044533333333333334,33.47924440734968
0.00448,33.37664879937876
0.004506666666666667,33.27110497616134
0.004533333333333333,33.16265599912722
0.00456,33.051345317266104
0.004586666666666666,32.9372167511112
0.004613333333333334,32.82031447668039
0.00464,32.700683009382516
0.004666666666666666,32.57836718789674
0.004693333333333333,32.45341215803189
0.00472,32.325863356573905
0.004746666666666666,32.19576649512838
0.0047733333333333326,32.063167543965804
0.004799999999999999,31.928112715876928
0.004826666666666667,31.79064845004533
0.004853333333333334,31.650821395944718
0.00488,31.508678397267918
0.004906666666666666,31.364266475894823
0.004933333333333333,31.217632815906285
0.00496,31.068824747651025
0.004986666666666666,30.91788973187232
0.005013333333333333,30.764875343901465
0.00504,30.60982925792468
0.005066666666666667,30.452799231330047
0.0050933333333333325,30.29383308914135
0.0051199999999999996,30.1329787085448
0.005146666666666667,29.970284003515484
0.005173333333333333,29.805796909549727
0.0052,29.639565368509246
0.005226666666666666,29.47163731358365
0.005253333333333332,29.302060654376827
0.005280000000000001,29.13088326212337
0.005306666666666666,28.958152955040674
0.005333333333333333,28.783917483822215
0.0053599999999999984,28.608224517277954
0.005386666666666666,28.431121628126494
0.005413333333333333,28.25265627894507
0.0054399999999999995,28.0728758082821
0.005466666666666666,27.89182741693714
0.005493333333333333,27.709558154413717
0.00552,27.526114905549
0.005546666666666667,27.34154437732565
0.005573333333333332,27.155893085870016
0.0056,26.969207343640857
0.005626666666666666,26.781533246813126
0.005653333333333333,26.59291666286072
0.005679999999999999,26.403403218342053
0.005706666666666666,26.21303828689251
0.005733333333333333,26.02186697742696
0.005759999999999999,25.82993412255646
0.005786666666666666,25.637284267221762
0.0058133333333333335,25.443961657547508
0.00584,25.250010229919845
0.005866666666666666,25.055473600290245
0.005893333333333333,24.860395053708594
0.00592,24.66481753408813
0.005946666666666667,24.468783634204307
0.005973333333333332,24.272335585930627
0.005999999999999999,24.075515250712808
0.006026666666666666,23.878364110284018
0.006053333333333333,23.680923257622435
0.0060799999999999995,23.483233388153568
0.006106666666666666,23.285334791198178
