x_cm,y_cm,z_cm,crack_id,crack_set
4.674030952998006,1.0540421040760903,8.681784450281054,0,1
4.735427493176261,1.1115772494496616,8.566530641462572,0,1
4.850332019578483,1.0439649595847642,8.753864632801642,0,1
5.216669087469202,1.0441145560457354,8.855152028557631,0,1
4.823947959774801,0.7869463558631591,9.337491062468088,0,1
5.072121648305401,0.8866232601640262,9.177160265656244,0,1
4.38714892086741,0.9024060683997838,8.950842783010762,0,1
4.450358829486645,0.7818797579231884,9.245497097103971,0,1
5.484378360265364,0.9415595498804139,9.165219498366184,0,1
4.952447960337774,0.8622216465591355,9.200064729952059,0,1
5.002618574768597,0.8606005389760988,9.217710659188217,0,1
5.492168289289486,0.835257789823348,9.411793302943051,0,1
5.037152001771419,1.027702526583409,8.843084462791083,0,1
4.865948236414218,0.8389828942981703,9.229498816713802,0,1
4.910926767557119,0.7009241340066177,9.55940649038397,0,1
5.205584350249466,0.8413228528677197,9.318342522811948,0,1
4.755606610942809,1.041988703379267,8.732129237303022,0,1
4.86428970748649,0.7657066891515247,9.397517879093494,0,1
4.591762108527434,0.7541994234943689,9.348369595235562,0,1
4.618656958639649,0.9836693317975759,8.828225783736007,0,1
5.445081131115669,1.1262311510761494,8.72971411108926,0,1
4.711166717975928,1.0439128381556486,8.715376427451124,0,1
5.338405565771662,0.9438688592241478,9.119413235700597,0,1
5.045182981435473,1.0507493669373733,8.792322372580895,0,1
5.401476443670549,1.1290865046025793,8.711051918490108,0,1
4.787389338113249,0.9977605450789154,8.842637494481474,0,1
5.386710440209611,1.0999599207350903,8.773924295573202,0,1
4.922596062156338,1.1231683115715678,8.591805460654875,0,1
5.553216277629729,0.8722224501091774,9.343739166462573,0,1
4.911184157381716,0.9936088027906383,8.886527200134882,0,1
4.757160785540556,0.845099114146711,9.185255747561566,0,1
5.011467981966107,1.1442531444628106,8.56798184801737,0,1
4.83381566349083,0.7859218317297391,9.342584239302296,0,1
5.150856501080571,1.0189095140040347,8.89484622230141,0,1
5.17710800209821,0.7204429368708204,9.588373726050275,0,1
4.504045479450895,0.9769031281397837,8.811986691839454,0,1
5.108330191869431,1.0583624664641311,8.792336736465565,0,1
5.019169561749347,0.8576916308667012,9.22899059191514,0,1
4.456625807137089,0.7901076761474162,9.22831780468476,0,1
4.544702510153441,0.9530455193827174,8.87812023884795,0,1
5.006393192252194,1.182457142615465,8.478734018704383,0,1
5.111002524599115,0.7667971119012991,9.463455241422746,0,1
4.785249982735746,1.0010164026315138,8.834558002001158,0,1
5.221421022298847,0.9863315791095496,8.989326953675292,0,1
5.406862390639988,0.9477661328414048,9.129444178840602,0,1
5.513195056798232,1.036843698588871,8.954133388516583,0,1
5.028613614132579,0.9495303472256789,9.020451867846587,0,1
4.603197370538029,0.9210548160338634,8.967902351896345,0,1
5.087016156384518,1.1025202171793451,8.684894647974554,0,1
4.7113900803489255,1.0806696533356632,8.630925855266259,0,1
4.748192958454266,0.8574254680955291,9.154426662356679,0,1
5.583842018435867,0.9420311952046065,9.191728859811636,0,1
5.341637737135965,0.9186937895232787,9.178193312965691,0,1
5.506253765138631,1.1001654293882686,8.806616185200363,0,1
5.372833446090707,0.793389938342012,9.474950748751114,0,1
