spacing_cm,lambda,m,F0_MPa
0.9,0.9293,2.2366,32.0727
0.7,0.9364,2.2307,32.2401
0.5,0.9533,2.217,32.6409
0.3,0.9906,2.1893,33.5194
0.1,0.9991,2.1833,33.7199
